0.0;468;0;0
0.0;540;0;0
0.0;468;0;0
0.0;540;2;0
0.0;476;2;0
0.0;504;2;0
0.0;504;4;0
0.0;518;4;0
0.0;555;4;0
0.0;481;6;0
0.0;455;6;0
0.0;385;6;0
0.0;385;8;0
0.0;420;8;0
0.0;385;8;0
0.0;385;10;0
0.0;385;10;0
0.0;444;10;0
0.0;407;12;0
0.0;396;12;0
0.0;432;12;0
0.0;432;14;0
0.0;407;14;0
0.0;396;14;0
0.0;432;16;0
0.0;432;16;0
0.0;385;16;0
0.0;444;18;0
0.0;385;18;0
0.0;360;18;0
0.0;432;20;0
0.0;444;20;0
0.0;396;20;0
0.0;396;22;0
0.0;432;22;0
0.0;432;22;0
0.0;396;24;0
0.0;444;24;0
0.0;444;24;0
0.0;360;26;0
0.5;385;26;0
0.0;468;26;0
0.0;444;28;0
1.0;396;28;1
0.0;432;28;1
0.0;385;30;1
0.5;432;30;1
1.0;396;30;1
1.0;396;32;1
3.0;407;32;1
1.0;420;32;0
0.0;432;34;0
1.5;432;34;1
2.5;444;34;1
4.5;396;36;1
6.0;432;36;1
4.0;444;36;0
9.0;481;38;1
9.5;432;38;1
10.0;360;38;0
46.0;444;40;1
16.5;396;40;1
18.5;396;40;1
35.0;407;42;1
36.0;396;42;1
33.5;396;42;1
73.5;385;44;1
85.5;432;44;1
78.5;444;44;1
104.5;432;46;1
89.5;444;46;1
97.5;432;46;1
83.5;420;48;1
98.0;432;48;0
110.0;407;48;1
148.5;455;50;1
94.0;385;50;0
138.0;385;50;0
140.5;396;52;1
140.0;396;52;1
137.0;396;52;1
141.0;407;54;0
139.5;432;54;1
148.0;444;54;1
159.5;444;56;0
139.5;396;56;1
138.0;385;56;1
173.5;444;58;0
134.5;432;58;1
84.5;245;58;0
110.0;288;60;0
120.0;370;60;0
103.5;315;60;0
94.5;272;62;0
149.0;315;62;0
123.0;315;62;0
120.5;340;64;0
137.5;396;64;0
140.5;350;64;0
160.5;396;66;0
177.0;385;66;0
179.5;385;66;0
160.5;350;68;0
199.5;420;68;0
180.5;396;68;0
179.5;385;70;0
201.0;432;70;0
193.5;432;70;0
248.0;396;72;0
208.5;396;72;0
196.0;444;72;0
254.0;407;74;0
202.5;407;74;0
197.0;396;74;0
235.0;370;76;0
237.5;385;76;0
281.0;444;76;0
238.0;385;78;0
241.5;396;78;0
249.5;396;78;0
245.5;385;80;0
223.0;396;80;0
280.0;432;80;0
257.5;396;82;0
291.5;444;82;0
261.5;385;82;0
273.0;396;84;0
265.5;407;84;0
256.5;396;84;0
244.0;360;86;0
268.5;385;86;0
297.5;432;86;0
245.5;370;88;0
275.0;396;88;0
267.0;396;88;0
302.0;432;90;0
231.0;350;90;0
311.5;444;90;0
304.0;432;92;0
363.0;432;92;0
331.0;385;92;0
339.5;407;94;0
373.5;444;94;0
362.0;432;94;0
376.0;444;96;0
287.0;396;96;0
287.0;396;96;0
341.0;407;98;0
371.5;432;98;0
372.5;444;98;0
